date,subcategory,year,month,sumOfLeads
2019-01-01,Wedding,2019,1,308.117168408
2019-01-02,Accessories for Phones & Gadgets,2019,1,4304.221536798
2019-01-02,Accommodation & Homestays,2019,1,3737.442949184
2019-01-02,Apartments,2019,1,116058.07026126
2019-01-02,Bags & Wallets,2019,1,4539.228941632
2019-01-02,Bed & Bath,2019,1,1817.99344268
2019-01-02,Business for Sale,2019,1,2682.423529968
2019-01-02,Cameras & Photography,2019,1,7886.064097024
2019-01-02,Car Accessories & Parts,2019,1,59391.590179904
2019-01-02,Cars,2019,1,186310.87414236
2019-01-02,Clothes,2019,1,4972.8823584
2019-01-02,Commercial Properties,2019,1,9441.73404396
2019-01-02,Commercial Vehicle & Boats,2019,1,8713.577236398
2019-01-02,Computers & Accessories,2019,1,21222.580852512
2019-01-02,Food,2019,1,1657.654573016
2019-01-02,Furniture & Decoration,2019,1,16527.184952976
2019-01-02,Games & Consoles,2019,1,12817.808134956
2019-01-02,Garden Items,2019,1,2454.60922196
2019-01-02,Health & Beauty,2019,1,3185.262086776
2019-01-02,Hobby & Collectibles,2019,1,12367.244522192
2019-01-02,Home Appliances & Kitchen,2019,1,23845.778037432
2019-01-02,Houses,2019,1,101125.57998105
2019-01-02,Jobs,2019,1,84415.20050235
2019-01-02,Land,2019,1,13002.853241808
2019-01-02,Mobile Phones & Gadgets,2019,1,137963.352530164
2019-01-02,Moms & Kids,2019,1,5995.667637024
2019-01-02,Motorcycle Accessories & Parts,2019,1,17433.75583776
2019-01-02,Motorcycles,2019,1,77006.400309234
2019-01-02,Music Instruments,2019,1,3041.18320668
2019-01-02,Music/Movies/Books/Magazines,2019,1,769.66595174
2019-01-02,Other Accessories & Parts,2019,1,886.868356038
2019-01-02,Others,2019,1,1916.98441875
2019-01-02,Pets,2019,1,19726.64813812
2019-01-02,Professional/Business Equipment,2019,1,4296.450939944
2019-01-02,Rooms,2019,1,57104.833786014
2019-01-02,Services,2019,1,7718.15907034
2019-01-02,Shoes,2019,1,5945.095130448
2019-01-02,Sports & Outdoors,2019,1,11377.17640004
2019-01-02,TV/Audio/Video,2019,1,12991.893715264
2019-01-02,Textbooks,2019,1,210.807692272
2019-01-02,Tickets & Vouchers,2019,1,206.747553824
2019-01-02,Tours and Holidays,2019,1,1208.869667928
2019-01-02,Watches & Fashion Accessories,2019,1,8187.96118926
2019-01-02,Wedding,2019,1,556.113913712
2019-01-03,Accessories for Phones & Gadgets,2019,1,5216.621531596
2019-01-03,Accommodation & Homestays,2019,1,5012.615594756
2019-01-03,Apartments,2019,1,113250.27500417
2019-01-03,Bags & Wallets,2019,1,7122.020733908
2019-01-03,Bed & Bath,2019,1,1780.5090418
2019-01-03,Business for Sale,2019,1,2328.697350192
2019-01-03,Cameras & Photography,2019,1,8902.45809856
2019-01-03,Car Accessories & Parts,2019,1,60649.824042438
2019-01-03,Cars,2019,1,189565.648919064
2019-01-03,Clothes,2019,1,9987.20540312
2019-01-03,Commercial Properties,2019,1,8454.66092316
2019-01-03,Commercial Vehicle & Boats,2019,1,8429.398732712
2019-01-03,Computers & Accessories,2019,1,22687.966888704
2019-01-03,Food,2019,1,2533.255408424
2019-01-03,Furniture & Decoration,2019,1,15865.090019088
2019-01-03,Games & Consoles,2019,1,15067.9562715
2019-01-03,Garden Items,2019,1,2249.74805776
2019-01-03,Health & Beauty,2019,1,4911.395850448
2019-01-03,Hobby & Collectibles,2019,1,12924.393653008
2019-01-03,Home Appliances & Kitchen,2019,1,23730.8318208
2019-01-03,Houses,2019,1,95925.04859016
2019-01-03,Jobs,2019,1,78150.65569902
2019-01-03,Land,2019,1,10983.173768992
2019-01-03,Mobile Phones & Gadgets,2019,1,142175.108060552
2019-01-03,Moms & Kids,2019,1,6017.496524052
2019-01-03,Motorcycle Accessories & Parts,2019,1,17315.184065856
2019-01-03,Motorcycles,2019,1,82933.049943018
2019-01-03,Music Instruments,2019,1,2867.81409276
2019-01-03,Music/Movies/Books/Magazines,2019,1,1038.15407444
2019-01-03,Other Accessories & Parts,2019,1,905.578658908
2019-01-03,Others,2019,1,2307.97332
2019-01-03,Pets,2019,1,19558.294554752
2019-01-03,Professional/Business Equipment,2019,1,4205.91992804
2019-01-03,Rooms,2019,1,54820.943438268
2019-01-03,Services,2019,1,7648.48662136
2019-01-03,Shoes,2019,1,10424.17547656
2019-01-03,Sports & Outdoors,2019,1,11061.948901058
2019-01-03,TV/Audio/Video,2019,1,12093.060936176
2019-01-03,Textbooks,2019,1,436.15384608
2019-01-03,Tickets & Vouchers,2019,1,258.43444228
2019-01-03,Tours and Holidays,2019,1,1164.096717264
2019-01-03,Watches & Fashion Accessories,2019,1,10091.798935716
2019-01-03,Wedding,2019,1,837.928397012
2019-01-04,Accessories for Phones & Gadgets,2019,1,4405.976183058
2019-01-04,Accommodation & Homestays,2019,1,5789.973093408
2019-01-04,Apartments,2019,1,105168.8399408
2019-01-04,Bags & Wallets,2019,1,6307.759698112
2019-01-04,Bed & Bath,2019,1,2001.667006992
2019-01-04,Business for Sale,2019,1,2575.568746494
2019-01-04,Cameras & Photography,2019,1,8318.572182784
2019-01-04,Car Accessories & Parts,2019,1,56926.780150072
2019-01-04,Cars,2019,1,178880.565935016
2019-01-04,Clothes,2019,1,7960.37910856
2019-01-04,Commercial Properties,2019,1,9263.3015952
2019-01-04,Commercial Vehicle & Boats,2019,1,7923.782433946
2019-01-04,Computers & Accessories,2019,1,22024.533409632
2019-01-04,Food,2019,1,2114.16441028
2019-01-04,Furniture & Decoration,2019,1,15998.228674272
2019-01-04,Games & Consoles,2019,1,14238.762071832
2019-01-04,Garden Items,2019,1,2473.23296416
2019-01-04,Health & Beauty,2019,1,3941.150728384
2019-01-04,Hobby & Collectibles,2019,1,13855.41917424
2019-01-04,Home Appliances & Kitchen,2019,1,23015.198923704
2019-01-04,Houses,2019,1,93706.35373764
2019-01-04,Jobs,2019,1,67363.146289884
2019-01-04,Land,2019,1,11875.416641456
2019-01-04,Mobile Phones & Gadgets,2019,1,134666.400546776
2019-01-04,Moms & Kids,2019,1,5278.952512938
2019-01-04,Motorcycle Accessories & Parts,2019,1,17270.719651392
2019-01-04,Motorcycles,2019,1,73446.04199115
2019-01-04,Music Instruments,2019,1,2586.08928264
2019-01-04,Music/Movies/Books/Magazines,2019,1,647.951336116
2019-01-04,Other Accessories & Parts,2019,1,782.090659966
2019-01-04,Others,2019,1,2011.8846375
2019-01-04,Pets,2019,1,19902.321442504
2019-01-04,Professional/Business Equipment,2019,1,3907.922013856
2019-01-04,Rooms,2019,1,52813.543961808
2019-01-04,Services,2019,1,7273.02953519
2019-01-04,Shoes,2019,1,8328.290018552
2019-01-04,Sports & Outdoors,2019,1,11920.67208794
2019-01-04,TV/Audio/Video,2019,1,13382.223487856
2019-01-04,Textbooks,2019,1,181.7307692
2019-01-04,Tickets & Vouchers,2019,1,239.97483926
2019-01-04,Tours and Holidays,2019,1,1220.062905594
2019-01-04,Watches & Fashion Accessories,2019,1,9242.001627432
2019-01-04,Wedding,2019,1,488.47843772
2019-01-05,Accessories for Phones & Gadgets,2019,1,4958.843094404
2019-01-05,Accommodation & Homestays,2019,1,5946.976332052
2019-01-05,Apartments,2019,1,87858.53521644
2019-01-05,Bags & Wallets,2019,1,5062.419290424
2019-01-05,Bed & Bath,2019,1,1930.44664532
2019-01-05,Business for Sale,2019,1,1919.701454826
2019-01-05,Cameras & Photography,2019,1,7630.163479616
2019-01-05,Car Accessories & Parts,2019,1,57701.645578612
2019-01-05,Cars,2019,1,183627.112484376
2019-01-05,Clothes,2019,1,7184.30807384
2019-01-05,Commercial Properties,2019,1,6647.55782508
2019-01-05,Commercial Vehicle & Boats,2019,1,8573.333299514
2019-01-05,Computers & Accessories,2019,1,21991.726259568
2019-01-05,Food,2019,1,1751.201670816
2019-01-05,Furniture & Decoration,2019,1,16617.143503776
2019-01-05,Games & Consoles,2019,1,13270.760032572
2019-01-05,Garden Items,2019,1,2093.30862328
2019-01-05,Health & Beauty,2019,1,3497.39520744
2019-01-05,Hobby & Collectibles,2019,1,14086.342827144
2019-01-05,Home Appliances & Kitchen,2019,1,24483.544142616
2019-01-05,Houses,2019,1,82504.92284631
2019-01-05,Jobs,2019,1,49679.126267346
2019-01-05,Land,2019,1,12144.209473328
2019-01-05,Mobile Phones & Gadgets,2019,1,137864.553747088
2019-01-05,Moms & Kids,2019,1,5926.542828102
2019-01-05,Motorcycle Accessories & Parts,2019,1,16514.824605504
2019-01-05,Motorcycles,2019,1,77636.197844028
2019-01-05,Music Instruments,2019,1,2651.10270036
2019-01-05,Music/Movies/Books/Magazines,2019,1,794.724843192
2019-01-05,Other Accessories & Parts,2019,1,722.217690782
2019-01-05,Others,2019,1,1810.69617375
2019-01-05,Pets,2019,1,20308.565958892
2019-01-05,Professional/Business Equipment,2019,1,3096.915032216
2019-01-05,Rooms,2019,1,48230.613081588
2019-01-05,Services,2019,1,6847.25345809
2019-01-05,Shoes,2019,1,7554.764629832
2019-01-05,Sports & Outdoors,2019,1,11105.42855609
2019-01-05,TV/Audio/Video,2019,1,13561.273842256
2019-01-05,Textbooks,2019,1,250.788461496
2019-01-05,Tickets & Vouchers,2019,1,321.197092548
2019-01-05,Tours and Holidays,2019,1,1014.853548384
2019-01-05,Watches & Fashion Accessories,2019,1,8753.2769952
2019-01-05,Wedding,2019,1,518.538649272
2019-01-06,,2019,1,2
2019-01-06,Accessories for Phones & Gadgets,2019,1,3981.998490308
2019-01-06,Accommodation & Homestays,2019,1,6023.563277732
2019-01-06,Apartments,2019,1,91430.02038784
2019-01-06,Bags & Wallets,2019,1,4192.891668488
2019-01-06,Bed & Bath,2019,1,1836.73564312
2019-01-06,Business for Sale,2019,1,2369.228474958
2019-01-06,Cameras & Photography,2019,1,7197.655393856
2019-01-06,Car Accessories & Parts,2019,1,53288.602471308
2019-01-06,Cars,2019,1,185739.86102364
2019-01-06,Clothes,2019,1,6302.75165576
2019-01-06,Commercial Properties,2019,1,6100.87117356
2019-01-06,Commercial Vehicle & Boats,2019,1,7089.700072478
2019-01-06,Computers & Accessories,2019,1,19717.097188464
2019-01-06,Food,2019,1,1691.331528224
2019-01-06,Furniture & Decoration,2019,1,15739.148047968
2019-01-06,Games & Consoles,2019,1,12883.559216868
2019-01-06,Garden Items,2019,1,2152.90459832
2019-01-06,Health & Beauty,2019,1,2858.08640608
2019-01-06,Hobby & Collectibles,2019,1,12645.8190876
2019-01-06,Home Appliances & Kitchen,2019,1,22859.46533988
2019-01-06,Houses,2019,1,89972.54344053
2019-01-06,Jobs,2019,1,49778.330202648
2019-01-06,Land,2019,1,12136.743005776
2019-01-06,Mobile Phones & Gadgets,2019,1,134333.412055668
2019-01-06,Moms & Kids,2019,1,5529.98471376
2019-01-06,Motorcycle Accessories & Parts,2019,1,16818.664771008
2019-01-06,Motorcycles,2019,1,82692.78036327
2019-01-06,Music Instruments,2019,1,3377.0858649
2019-01-06,Music/Movies/Books/Magazines,2019,1,587.094028304
2019-01-06,Other Accessories & Parts,2019,1,763.380357096
2019-01-06,Others,2019,1,1742.36801625
2019-01-06,Pets,2019,1,20224.389167208
2019-01-06,Professional/Business Equipment,2019,1,2534.868333312
2019-01-06,Rooms,2019,1,49957.73414058
2019-01-06,Services,2019,1,6355.67562362
2019-01-06,Shoes,2019,1,7164.31848124
2019-01-06,Sports & Outdoors,2019,1,10188.732495832
2019-01-06,TV/Audio/Video,2019,1,13367.899459504
2019-01-06,Textbooks,2019,1,134.480769208
2019-01-06,Tickets & Vouchers,2019,1,273.202124696
2019-01-06,Tours and Holidays,2019,1,1216.331826372
2019-01-06,Watches & Fashion Accessories,2019,1,8209.844381748
2019-01-06,Wedding,2019,1,477.205858388
2019-01-07,Accessories for Phones & Gadgets,2019,1,3931.121167178
2019-01-07,Accommodation & Homestays,2019,1,5357.256850316
2019-01-07,Apartments,2019,1,121080.94621508
2019-01-07,Bags & Wallets,2019,1,5353.489977428
2019-01-07,Bed & Bath,2019,1,1739.276200832
2019-01-07,Business for Sale,2019,1,2450.29072449
2019-01-07,Cameras & Photography,2019,1,9075.461332864
2019-01-07,Car Accessories & Parts,2019,1,58815.97586156
2019-01-07,Cars,2019,1,186392.957278176
2019-01-07,Clothes,2019,1,8144.97852944
2019-01-07,Commercial Properties,2019,1,9130.4263674
2019-01-07,Commercial Vehicle & Boats,2019,1,8008.66692206
2019-01-07,Computers & Accessories,2019,1,21280.904674848
2019-01-07,Food,2019,1,1968.230937712
2019-01-07,Furniture & Decoration,2019,1,14781.989067456
2019-01-07,Games & Consoles,2019,1,13851.561256128
2019-01-07,Garden Items,2019,1,2875.50579568
2019-01-07,Health & Beauty,2019,1,4253.283849048
2019-01-07,Hobby & Collectibles,2019,1,12422.226344312
2019-01-07,Home Appliances & Kitchen,2019,1,23322.95814888
2019-01-07,Houses,2019,1,104308.4392074
2019-01-07,Jobs,2019,1,92178.826994688
2019-01-07,Land,2019,1,13719.6341268
2019-01-07,Mobile Phones & Gadgets,2019,1,132964.865949356
2019-01-07,Moms & Kids,2019,1,6454.074264612
2019-01-07,Motorcycle Accessories & Parts,2019,1,15347.633725824
2019-01-07,Motorcycles,2019,1,81094.623613128
2019-01-07,Music Instruments,2019,1,3456.54670878
2019-01-07,Music/Movies/Books/Magazines,2019,1,630.052127936
2019-01-07,Other Accessories & Parts,2019,1,987.903991536
2019-01-07,Others,2019,1,1977.72055875
2019-01-07,Pets,2019,1,19466.798042052
2019-01-07,Professional/Business Equipment,2019,1,4205.91992804
2019-01-07,Rooms,2019,1,58574.40170463
2019-01-07,Services,2019,1,7880.72811796
2019-01-07,Shoes,2019,1,8936.059966832
2019-01-07,Sports & Outdoors,2019,1,10964.119677236
2019-01-07,TV/Audio/Video,2019,1,12171.843092112
2019-01-07,Textbooks,2019,1,287.134615336
2019-01-07,Tickets & Vouchers,2019,1,243.666759864
2019-01-07,Tours and Holidays,2019,1,1197.676430262
2019-01-07,Watches & Fashion Accessories,2019,1,9679.665477192
2019-01-07,Wedding,2019,1,638.77949548
2019-01-08,Accessories for Phones & Gadgets,2019,1,3839.541985544
2019-01-08,Accommodation & Homestays,2019,1,5227.05904266
2019-01-08,Apartments,2019,1,109557.20735885
2019-01-08,Bags & Wallets,2019,1,4240.789376476
2019-01-08,Bed & Bath,2019,1,1836.73564312
2019-01-08,Business for Sale,2019,1,2899.817744622
2019-01-08,Cameras & Photography,2019,1,8448.324608512
2019-01-08,Car Accessories & Parts,2019,1,58092.768128256
2019-01-08,Cars,2019,1,190539.94005288
2019-01-08,Clothes,2019,1,6871.61925888
2019-01-08,Commercial Properties,2019,1,9525.25561572
2019-01-08,Commercial Vehicle & Boats,2019,1,8702.505346644
2019-01-08,Computers & Accessories,2019,1,22363.54062696
2019-01-08,Food,2019,1,1751.201670816
2019-01-08,Furniture & Decoration,2019,1,14332.196313456
2019-01-08,Games & Consoles,2019,1,13767.545984796
2019-01-08,Garden Items,2019,1,2476.9577126
2019-01-08,Health & Beauty,2019,1,3696.709127864
2019-01-08,Hobby & Collectibles,2019,1,14130.32828484
2019-01-08,Home Appliances & Kitchen,2019,1,23749.37153316
2019-01-08,Houses,2019,1,99565.79282802
2019-01-08,Jobs,2019,1,85003.07567451
2019-01-08,Land,2019,1,13152.182592848
2019-01-08,Mobile Phones & Gadgets,2019,1,132507.464175856
2019-01-08,Moms & Kids,2019,1,5886.523201884
2019-01-08,Motorcycle Accessories & Parts,2019,1,17170.674718848
2019-01-08,Motorcycles,2019,1,85969.18372347
2019-01-08,Music Instruments,2019,1,3066.46620246
2019-01-08,Music/Movies/Books/Magazines,2019,1,687.329594112
2019-01-08,Other Accessories & Parts,2019,1,1006.614294406
2019-01-08,Others,2019,1,2209.2770925
2019-01-08,Pets,2019,1,20323.205400924
2019-01-08,Professional/Business Equipment,2019,1,4564.27185016
2019-01-08,Rooms,2019,1,52885.507339266
2019-01-08,Services,2019,1,9274.17709756
2019-01-08,Shoes,2019,1,7190.102660864
2019-01-08,Sports & Outdoors,2019,1,11764.869990742
2019-01-08,TV/Audio/Video,2019,1,12708.994155312
2019-01-08,Textbooks,2019,1,239.884615344
2019-01-08,Tickets & Vouchers,2019,1,247.358680468
2019-01-08,Tours and Holidays,2019,1,1111.861608156
2019-01-08,Watches & Fashion Accessories,2019,1,8319.260344188
2019-01-08,Wedding,2019,1,627.506916148
2019-01-09,Accessories for Phones & Gadgets,2019,1,3669.950908444
2019-01-09,Accommodation & Homestays,2019,1,5142.813402412
2019-01-09,Apartments,2019,1,106608.83236629
2019-01-09,Bags & Wallets,2019,1,4553.966697936
2019-01-09,Bed & Bath,2019,1,1866.723163824
2019-01-09,Business for Sale,2019,1,2409.759599724
2019-01-09,Cameras & Photography,2019,1,8578.07703424
2019-01-09,Car Accessories & Parts,2019,1,57631.538706506
2019-01-09,Cars,2019,1,184108.904803296
2019-01-09,Clothes,2019,1,6182.19693192
2019-01-09,Commercial Properties,2019,1,9635.35223304
2019-01-09,Commercial Vehicle & Boats,2019,1,7879.49487493
2019-01-09,Computers & Accessories,2019,1,21415.778514
2019-01-09,Food,2019,1,1814.81369732
2019-01-09,Furniture & Decoration,2019,1,13698.888115824
2019-01-09,Games & Consoles,2019,1,13029.672732228
2019-01-09,Garden Items,2019,1,2380.11425316
2019-01-09,Health & Beauty,2019,1,3437.224967312
2019-01-09,Hobby & Collectibles,2019,1,13232.29185688
2019-01-09,Home Appliances & Kitchen,2019,1,23285.87872416
2019-01-09,Houses,2019,1,99554.62490091
2019-01-09,Jobs,2019,1,81237.00035286
2019-01-09,Land,2019,1,13252.9799048
2019-01-09,Mobile Phones & Gadgets,2019,1,135211.623460788
2019-01-09,Moms & Kids,2019,1,5486.326939704
2019-01-09,Motorcycle Accessories & Parts,2019,1,15551.428958784
2019-01-09,Motorcycles,2019,1,79223.433249636
2019-01-09,Music Instruments,2019,1,2683.60940922
2019-01-09,Music/Movies/Books/Magazines,2019,1,751.76674356
2019-01-09,Other Accessories & Parts,2019,1,886.868356038
2019-01-09,Others,2019,1,1860.0442875
2019-01-09,Pets,2019,1,20136.552515016
2019-01-09,Professional/Business Equipment,2019,1,4051.262782704
2019-01-09,Rooms,2019,1,53078.672194548
2019-01-09,Services,2019,1,9912.84121321
2019-01-09,Shoes,2019,1,7698.41934488
2019-01-09,Sports & Outdoors,2019,1,10811.940884624
2019-01-09,TV/Audio/Video,2019,1,12039.345829856
2019-01-09,Textbooks,2019,1,90.8653846
2019-01-09,Tickets & Vouchers,2019,1,284.277886508
2019-01-09,Tours and Holidays,2019,1,1190.214271818
2019-01-09,Watches & Fashion Accessories,2019,1,8173.372394268
2019-01-09,Wedding,2019,1,450.90317328
2019-01-10,Accessories for Phones & Gadgets,2019,1,5253.931568558
2019-01-10,Accommodation & Homestays,2019,1,5575.529645504
2019-01-10,Apartments,2019,1,99861.00506373
2019-01-10,Bags & Wallets,2019,1,6447.768383
2019-01-10,Bed & Bath,2019,1,1345.689991592
2019-01-10,Business for Sale,2019,1,2059.718067654
2019-01-10,Cameras & Photography,2019,1,9619.700674112
2019-01-10,Car Accessories & Parts,2019,1,55956.35344671
2019-01-10,Cars,2019,1,184861.928353608
2019-01-10,Clothes,2019,1,8789.19283496
2019-01-10,Commercial Properties,2019,1,9058.29410088
2019-01-10,Commercial Vehicle & Boats,2019,1,8100.93267001
2019-01-10,Computers & Accessories,2019,1,22144.8262932
2019-01-10,Food,2019,1,2147.841365488
2019-01-10,Furniture & Decoration,2019,1,13670.101379568
2019-01-10,Games & Consoles,2019,1,14227.80355818
2019-01-10,Garden Items,2019,1,2666.91988304
2019-01-10,Health & Beauty,2019,1,4681.99680996
2019-01-10,Hobby & Collectibles,2019,1,13191.971853992
2019-01-10,Home Appliances & Kitchen,2019,1,22792.722375384
2019-01-10,Houses,2019,1,91796.63820183
2019-01-10,Jobs,2019,1,73752.614567298
2019-01-10,Land,2019,1,13891.362880496
2019-01-10,Mobile Phones & Gadgets,2019,1,125430.543936264
2019-01-10,Moms & Kids,2019,1,5555.451748626
2019-01-10,Motorcycle Accessories & Parts,2019,1,15807.099341952
2019-01-10,Motorcycles,2019,1,74221.457453064
2019-01-10,Music Instruments,2019,1,3084.52548516
2019-01-10,Music/Movies/Books/Magazines,2019,1,1027.414549532
2019-01-10,Other Accessories & Parts,2019,1,935.5151435
2019-01-10,Others,2019,1,1970.12854125
2019-01-10,Pets,2019,1,19818.14465082
2019-01-10,Professional/Business Equipment,2019,1,3628.784727152
2019-01-10,Rooms,2019,1,51253.074934824
2019-01-10,Services,2019,1,7791.70221093
2019-01-10,Shoes,2019,1,9337.55647812
2019-01-10,Sports & Outdoors,2019,1,10768.461229592
2019-01-10,TV/Audio/Video,2019,1,11810.161376224
2019-01-10,Textbooks,2019,1,654.23076912
2019-01-10,Tickets & Vouchers,2019,1,420.878948856
2019-01-10,Tours and Holidays,2019,1,1320.802044588
2019-01-10,Watches & Fashion Accessories,2019,1,9971.441377032
2019-01-10,Wedding,2019,1,488.47843772
2019-01-11,Accessories for Phones & Gadgets,2019,1,4416.151647684
2019-01-11,Accommodation & Homestays,2019,1,4974.322121916
2019-01-11,Apartments,2019,1,93781.88136773
2019-01-11,Bags & Wallets,2019,1,5375.596611884
2019-01-11,Bed & Bath,2019,1,1619.326118016
2019-01-11,Business for Sale,2019,1,2074.456658478
2019-01-11,Cameras & Photography,2019,1,8592.493970432
2019-01-11,Car Accessories & Parts,2019,1,52045.12795027
2019-01-11,Cars,2019,1,175889.88472572
2019-01-11,Clothes,2019,1,6913.0599452
2019-01-11,Commercial Properties,2019,1,7919.36357688
2019-01-11,Commercial Vehicle & Boats,2019,1,7229.944009362
2019-01-11,Computers & Accessories,2019,1,21834.98098704
2019-01-11,Food,2019,1,1953.263402064
2019-01-11,Furniture & Decoration,2019,1,13670.101379568
2019-01-11,Games & Consoles,2019,1,13373.039493324
2019-01-11,Garden Items,2019,1,1936.8691888
2019-01-11,Health & Beauty,2019,1,3591.41120764
2019-01-11,Hobby & Collectibles,2019,1,12920.7281982
2019-01-11,Home Appliances & Kitchen,2019,1,22036.302111096
2019-01-11,Houses,2019,1,83822.73824529
2019-01-11,Jobs,2019,1,63336.201360588
2019-01-11,Land,2019,1,12054.611862704
2019-01-11,Mobile Phones & Gadgets,2019,1,131157.214140484
2019-01-11,Moms & Kids,2019,1,5424.478426458
2019-01-11,Motorcycle Accessories & Parts,2019,1,16737.146677824
2019-01-11,Motorcycles,2019,1,75309.951458286
2019-01-11,Music Instruments,2019,1,3095.36105478
2019-01-11,Music/Movies/Books/Magazines,2019,1,630.052127936
2019-01-11,Other Accessories & Parts,2019,1,770.864478244
2019-01-11,Others,2019,1,1791.71613
2019-01-11,Pets,2019,1,19558.294554752
2019-01-11,Professional/Business Equipment,2019,1,3523.165213264
2019-01-11,Rooms,2019,1,47317.814451726
2019-01-11,Services,2019,1,7466.56411569
2019-01-11,Shoes,2019,1,7676.318619488
2019-01-11,Sports & Outdoors,2019,1,10840.927321312
2019-01-11,TV/Audio/Video,2019,1,11473.546709952
2019-01-11,Textbooks,2019,1,287.134615336
2019-01-11,Tickets & Vouchers,2019,1,221.51523624
2019-01-11,Tours and Holidays,2019,1,891.727934058
2019-01-11,Watches & Fashion Accessories,2019,1,8636.566635264
2019-01-11,Wedding,2019,1,417.085435284
2019-01-12,,2019,1,4
2019-01-12,Accessories for Phones & Gadgets,2019,1,4877.439377396
2019-01-12,Accommodation & Homestays,2019,1,4576.07000438
2019-01-12,Apartments,2019,1,80027.86400553
2019-01-12,Bags & Wallets,2019,1,4841.352945864
2019-01-12,Bed & Bath,2019,1,1405.665033
2019-01-12,Business for Sale,2019,1,1941.809341062
2019-01-12,Cameras & Photography,2019,1,9122.316375488
2019-01-12,Car Accessories & Parts,2019,1,50274.00697075
2019-01-12,Cars,2019,1,167799.342599856
2019-01-12,Clothes,2019,1,7022.31266368
2019-01-12,Commercial Properties,2019,1,5208.70892976
2019-01-12,Commercial Vehicle & Boats,2019,1,7750.3228278
2019-01-12,Computers & Accessories,2019,1,20136.299661504
2019-01-12,Food,2019,1,2394.80570368
2019-01-12,Furniture & Decoration,2019,1,12619.385506224
2019-01-12,Games & Consoles,2019,1,13190.397599124
2019-01-12,Garden Items,2019,1,2219.95007024
2019-01-12,Health & Beauty,2019,1,2985.948166352
2019-01-12,Hobby & Collectibles,2019,1,11934.720854848
2019-01-12,Home Appliances & Kitchen,2019,1,20931.33525444
2019-01-12,Houses,2019,1,76451.90635269
2019-01-12,Jobs,2019,1,43884.881601744
2019-01-12,Land,2019,1,12035.945693824
2019-01-12,Mobile Phones & Gadgets,2019,1,122741.021508084
2019-01-12,Moms & Kids,2019,1,5828.312836476
2019-01-12,Motorcycle Accessories & Parts,2019,1,14117.45159232
2019-01-12,Motorcycles,2019,1,68280.246026568
2019-01-12,Music Instruments,2019,1,2679.99755268
2019-01-12,Music/Movies/Books/Magazines,2019,1,673.010227568
2019-01-12,Other Accessories & Parts,2019,1,969.193688666
2019-01-12,Others,2019,1,1465.2593775
2019-01-12,Pets,2019,1,19624.172043896
2019-01-12,Professional/Business Equipment,2019,1,2614.082968728
2019-01-12,Rooms,2019,1,46859.521363704
2019-01-12,Services,2019,1,6649.84818598
2019-01-12,Shoes,2019,1,7425.843731712
2019-01-12,Sports & Outdoors,2019,1,10554.686259018
2019-01-12,TV/Audio/Video,2019,1,12057.250865296
2019-01-12,Textbooks,2019,1,377.999999936
