date,vertical,reply_type,year,month,sumOfLeads
2019-01-05,Auto,email,2019,1,1559.770803102
2019-01-05,Auto,sms,2019,1,27954.270822156
2019-01-05,Generalist,call,2019,1,206742.227537566
2019-01-05,Generalist,chat,2019,1,97365.590635174
2019-01-05,Generalist,email,2019,1,1837.570829674
2019-01-05,Generalist,sms,2019,1,33299.083142706
2019-01-05,Jobs,call,2019,1,34640.544519528
2019-01-05,Jobs,chat,2019,1,33.067978434
2019-01-05,Jobs,email,2019,1,12029.395710324
2019-01-05,Jobs,sms,2019,1,2976.11805906
2019-01-05,Property,call,2019,1,186205.954850156
2019-01-05,Property,chat,2019,1,28389.758230474
2019-01-05,Property,email,2019,1,2138.363681712
2019-01-05,Property,sms,2019,1,20651.761680404
2019-01-05,Services,call,2019,1,13482.054891014
2019-01-05,Services,chat,2019,1,938.218748482
2019-01-05,Services,email,2019,1,57.559467518
2019-01-05,Services,sms,2019,1,1082.451902328
2019-01-06,,email,2019,1,2
2019-01-06,Auto,call,2019,1,271844.690996758
2019-01-06,Auto,chat,2019,1,43273.652098026
2019-01-06,Auto,email,2019,1,2009.546960364
2019-01-06,Auto,sms,2019,1,29265.099003652
2019-01-06,Generalist,call,2019,1,200894.328846544
2019-01-06,Generalist,chat,2019,1,86905.355611276
2019-01-06,Generalist,email,2019,1,2359.095809596
2019-01-06,Generalist,sms,2019,1,32723.446694272
2019-01-06,Jobs,call,2019,1,35004.292282302
2019-01-06,Jobs,chat,2019,1,18.37109913
2019-01-06,Jobs,email,2019,1,12194.735602494
2019-01-06,Jobs,sms,2019,1,2560.931218722
2019-01-06,Property,call,2019,1,195926.42071596
2019-01-06,Property,chat,2019,1,29079.84445584
2019-01-06,Property,email,2019,1,1693.125324668
2019-01-06,Property,sms,2019,1,22898.521651818
2019-01-06,Services,call,2019,1,13314.804674892
2019-01-06,Services,chat,2019,1,998.920076636
2019-01-06,Services,email,2019,1,26.707162926
2019-01-06,Services,sms,2019,1,946.470341494
2019-01-07,Auto,call,2019,1,283197.971955758
2019-01-07,Auto,chat,2019,1,40768.47368766
2019-01-07,Auto,email,2019,1,1621.094248828
2019-01-07,Auto,sms,2019,1,25060.221500038
2019-01-07,Generalist,call,2019,1,204036.986190622
2019-01-07,Generalist,chat,2019,1,100275.197867472
2019-01-07,Generalist,email,2019,1,1994.081513846
2019-01-07,Generalist,sms,2019,1,29254.028160222
2019-01-07,Jobs,call,2019,1,66819.361755636
2019-01-07,Jobs,chat,2019,1,124.923474084
2019-01-07,Jobs,email,2019,1,20943.0530082
2019-01-07,Jobs,sms,2019,1,4291.488756768
2019-01-07,Property,call,2019,1,249836.86792228
2019-01-07,Property,chat,2019,1,33782.161239364
2019-01-07,Property,email,2019,1,2800.4049055
2019-01-07,Property,sms,2019,1,20394.413554166
2019-01-07,Services,call,2019,1,14490.25506893
2019-01-07,Services,chat,2019,1,1196.715910494
2019-01-07,Services,email,2019,1,19.1419617
2019-01-07,Services,sms,2019,1,697.779395126
2019-01-08,Auto,call,2019,1,290935.41176668
2019-01-08,Auto,chat,2019,1,42904.785492172
2019-01-08,Auto,email,2019,1,1594.40378018
2019-01-08,Auto,sms,2019,1,26047.085225472
2019-01-08,Generalist,call,2019,1,206842.553969072
2019-01-08,Generalist,chat,2019,1,95576.2312709
2019-01-08,Generalist,email,2019,1,1841.385515474
2019-01-08,Generalist,sms,2019,1,28735.822326346
2019-01-08,Jobs,call,2019,1,61451.32658985
2019-01-08,Jobs,chat,2019,1,88.181275824
2019-01-08,Jobs,email,2019,1,19234.54078911
2019-01-08,Jobs,sms,2019,1,4229.027019726
2019-01-08,Property,call,2019,1,231513.169769858
2019-01-08,Property,chat,2019,1,30321.813079356
2019-01-08,Property,email,2019,1,2108.037146872
2019-01-08,Property,sms,2019,1,20742.925738618
2019-01-08,Services,call,2019,1,15680.19053613
2019-01-08,Services,chat,2019,1,1004.380298566
2019-01-08,Services,email,2019,1,26.573580508
2019-01-08,Services,sms,2019,1,653.155003988
2019-01-09,Auto,call,2019,1,278246.39722453
2019-01-09,Auto,chat,2019,1,40798.554190094
2019-01-09,Auto,email,2019,1,1537.128788706
2019-01-09,Auto,sms,2019,1,24699.58874586
2019-01-09,Generalist,call,2019,1,201308.911424612
2019-01-09,Generalist,chat,2019,1,96019.165632558
2019-01-09,Generalist,email,2019,1,1938.556294524
2019-01-09,Generalist,sms,2019,1,28204.201184466
2019-01-09,Jobs,call,2019,1,59669.32997424
2019-01-09,Jobs,chat,2019,1,110.22659478
2019-01-09,Jobs,email,2019,1,17878.753673316
2019-01-09,Jobs,sms,2019,1,3578.690110524
2019-01-09,Property,call,2019,1,230214.333594464
2019-01-09,Property,chat,2019,1,30215.617243646
2019-01-09,Property,email,2019,1,2295.869620562
2019-01-09,Property,sms,2019,1,19404.641140916
2019-01-09,Services,call,2019,1,16216.424189388
2019-01-09,Services,chat,2019,1,967.13412197
2019-01-09,Services,email,2019,1,30.800155576
2019-01-09,Services,sms,2019,1,846.324117826
2019-01-10,Auto,call,2019,1,273074.417945682
2019-01-10,Auto,chat,2019,1,40876.9239794
2019-01-10,Auto,email,2019,1,1748.993284136
2019-01-10,Auto,sms,2019,1,24182.951199626
2019-01-10,Generalist,call,2019,1,192304.02357734
2019-01-10,Generalist,chat,2019,1,110328.531212582
2019-01-10,Generalist,email,2019,1,1716.223336674
2019-01-10,Generalist,sms,2019,1,26509.767802072
2019-01-10,Jobs,call,2019,1,53636.261019948
2019-01-10,Jobs,chat,2019,1,91.85549565
2019-01-10,Jobs,email,2019,1,16695.654889344
2019-01-10,Jobs,sms,2019,1,3328.843162356
2019-01-10,Property,call,2019,1,218454.385733884
2019-01-10,Property,chat,2019,1,28203.769084776
2019-01-10,Property,email,2019,1,2211.670480954
2019-01-10,Property,sms,2019,1,16990.549882146
2019-01-10,Services,call,2019,1,15120.414834142
2019-01-10,Services,chat,2019,1,1104.140110354
2019-01-10,Services,email,2019,1,57.022627346
2019-01-10,Services,sms,2019,1,554.297694668
2019-01-11,Auto,call,2019,1,262912.397372436
2019-01-11,Auto,chat,2019,1,38874.284214456
2019-01-11,Auto,email,2019,1,1578.309815762
2019-01-11,Auto,sms,2019,1,24617.927897052
2019-01-11,Generalist,call,2019,1,192801.79226379
2019-01-11,Generalist,chat,2019,1,101537.456683022
2019-01-11,Generalist,email,2019,1,1695.993466332
2019-01-11,Generalist,sms,2019,1,27052.651324768
2019-01-11,Jobs,call,2019,1,45916.725165522
2019-01-11,Jobs,chat,2019,1,44.090637912
2019-01-11,Jobs,email,2019,1,14138.397890448
2019-01-11,Jobs,sms,2019,1,3236.987666706
2019-01-11,Property,call,2019,1,199750.429823152
2019-01-11,Property,chat,2019,1,26040.807119888
2019-01-11,Property,email,2019,1,1871.520064382
2019-01-11,Property,sms,2019,1,17233.652496908
2019-01-11,Services,call,2019,1,13557.905906262
2019-01-11,Services,chat,2019,1,1039.40350974
2019-01-11,Services,email,2019,1,68.861777936
2019-01-11,Services,sms,2019,1,619.70637979
2019-01-12,,email,2019,1,4
2019-01-12,Auto,call,2019,1,246024.632379046
2019-01-12,Auto,chat,2019,1,37062.735298118
2019-01-12,Auto,email,2019,1,1293.466442358
2019-01-12,Auto,sms,2019,1,24809.729586438
2019-01-12,Generalist,call,2019,1,179957.375480136
2019-01-12,Generalist,chat,2019,1,98986.02315916
2019-01-12,Generalist,email,2019,1,2010.52435084
2019-01-12,Generalist,sms,2019,1,27528.1926258
2019-01-12,Jobs,call,2019,1,31120.64192622
2019-01-12,Jobs,chat,2019,1,22.045318956
2019-01-12,Jobs,email,2019,1,10409.064767058
2019-01-12,Jobs,sms,2019,1,2333.12958951
2019-01-12,Property,call,2019,1,173275.500825968
2019-01-12,Property,chat,2019,1,26309.494885342
2019-01-12,Property,email,2019,1,1611.320805952
2019-01-12,Property,sms,2019,1,19387.629828246
2019-01-12,Services,call,2019,1,12757.236896192
2019-01-12,Services,chat,2019,1,922.542575602
2019-01-12,Services,email,2019,1,53.580958406
2019-01-12,Services,sms,2019,1,853.712982338
2019-01-13,,email,2019,1,8
2019-01-13,Auto,call,2019,1,237741.075414426
2019-01-13,Auto,chat,2019,1,37457.41438168
2019-01-13,Auto,email,2019,1,1476.133040182
2019-01-13,Auto,sms,2019,1,24946.591621126
2019-01-13,Generalist,call,2019,1,181697.954112364
2019-01-13,Generalist,chat,2019,1,98529.021078566
2019-01-13,Generalist,email,2019,1,1700.040035632
2019-01-13,Generalist,sms,2019,1,29294.558434418
2019-01-13,Jobs,call,2019,1,31947.34138707
2019-01-13,Jobs,chat,2019,1,40.416418086
2019-01-13,Jobs,email,2019,1,10541.336680794
2019-01-13,Jobs,sms,2019,1,2579.302317852
2019-01-13,Property,call,2019,1,182923.926094348
2019-01-13,Property,chat,2019,1,27621.493174296
2019-01-13,Property,email,2019,1,1819.411240184
2019-01-13,Property,sms,2019,1,19503.771540152
2019-01-13,Services,call,2019,1,11585.113017404
2019-01-13,Services,chat,2019,1,995.789250088
2019-01-13,Services,email,2019,1,38.190430058
2019-01-13,Services,sms,2019,1,859.732026724
2019-01-14,,email,2019,1,2
2019-01-14,Auto,call,2019,1,277007.98453468
2019-01-14,Auto,chat,2019,1,42000.125433546
2019-01-14,Auto,email,2019,1,1400.499408934
2019-01-14,Auto,sms,2019,1,25753.518948044
2019-01-14,Generalist,call,2019,1,188514.332318856
2019-01-14,Generalist,chat,2019,1,87804.896885732
2019-01-14,Generalist,email,2019,1,2060.44167914
2019-01-14,Generalist,sms,2019,1,27105.457327418
2019-01-14,Jobs,call,2019,1,57806.500522458
2019-01-14,Jobs,chat,2019,1,40.416418086
2019-01-14,Jobs,email,2019,1,17470.91527263
2019-01-14,Jobs,sms,2019,1,3615.432308784
2019-01-14,Property,call,2019,1,237660.304999666
2019-01-14,Property,chat,2019,1,32267.396073298
2019-01-14,Property,email,2019,1,2442.933399054
2019-01-14,Property,sms,2019,1,20059.63394969
2019-01-14,Services,call,2019,1,14587.683475846
2019-01-14,Services,chat,2019,1,1088.502989484
2019-01-14,Services,email,2019,1,34.046543642
2019-01-14,Services,sms,2019,1,872.233059434
2019-01-15,Auto,call,2019,1,268562.186288478
2019-01-15,Auto,chat,2019,1,40815.506964062
2019-01-15,Auto,email,2019,1,1420.208546534
2019-01-15,Auto,sms,2019,1,24108.605335124
2019-01-15,Generalist,call,2019,1,184683.923197406
2019-01-15,Generalist,chat,2019,1,102097.795765956
2019-01-15,Generalist,email,2019,1,1975.589932346
2019-01-15,Generalist,sms,2019,1,25362.360668784
2019-01-15,Jobs,call,2019,1,54477.657360102
2019-01-15,Jobs,chat,2019,1,66.135956868
2019-01-15,Jobs,email,2019,1,16497.24701874
2019-01-15,Jobs,sms,2019,1,3714.636244086
2019-01-15,Property,call,2019,1,222122.02690443
2019-01-15,Property,chat,2019,1,29517.229076512
2019-01-15,Property,email,2019,1,1922.226068786
2019-01-15,Property,sms,2019,1,18543.05308888
2019-01-15,Services,call,2019,1,14698.444694886
2019-01-15,Services,chat,2019,1,1021.41728097
2019-01-15,Services,email,2019,1,110.371735272
2019-01-15,Services,sms,2019,1,721.757292094
2019-01-16,Auto,call,2019,1,259086.270706694
2019-01-16,Auto,chat,2019,1,39157.216266404
2019-01-16,Auto,email,2019,1,1759.417109318
2019-01-16,Auto,sms,2019,1,24004.504275652
2019-01-16,Generalist,call,2019,1,183992.261438992
2019-01-16,Generalist,chat,2019,1,100448.60381387
2019-01-16,Generalist,email,2019,1,1704.99512439
2019-01-16,Generalist,sms,2019,1,23872.017332802
2019-01-16,Jobs,call,2019,1,51189.230615832
2019-01-16,Jobs,chat,2019,1,62.461737042
2019-01-16,Jobs,email,2019,1,17496.634811412
2019-01-16,Jobs,sms,2019,1,3236.987666706
2019-01-16,Property,call,2019,1,220826.990077808
2019-01-16,Property,chat,2019,1,28700.58194881
2019-01-16,Property,email,2019,1,2164.376599856
2019-01-16,Property,sms,2019,1,19402.920447212
2019-01-16,Services,call,2019,1,14527.67821276
2019-01-16,Services,chat,2019,1,1192.041603662
2019-01-16,Services,email,2019,1,30.335199366
2019-01-16,Services,sms,2019,1,561.43928401
2019-01-17,,email,2019,1,8
2019-01-17,Auto,call,2019,1,262644.507374384
2019-01-17,Auto,chat,2019,1,39852.728338816
2019-01-17,Auto,email,2019,1,1652.431340356
2019-01-17,Auto,sms,2019,1,23745.061109148
2019-01-17,Generalist,call,2019,1,185842.185806292
2019-01-17,Generalist,chat,2019,1,101153.380744252
2019-01-17,Generalist,email,2019,1,1756.463814086
2019-01-17,Generalist,sms,2019,1,25376.80687331
2019-01-17,Jobs,call,2019,1,48143.302380078
2019-01-17,Jobs,chat,2019,1,36.74219826
2019-01-17,Jobs,email,2019,1,16728.722867778
2019-01-17,Jobs,sms,2019,1,3413.350218354
2019-01-17,Property,call,2019,1,211151.698336668
2019-01-17,Property,chat,2019,1,29546.983319964
2019-01-17,Property,email,2019,1,1966.304354434
2019-01-17,Property,sms,2019,1,17756.209981258
2019-01-17,Services,call,2019,1,13695.39959577
2019-01-17,Services,chat,2019,1,1053.630383872
2019-01-17,Services,email,2019,1,34.15977193
2019-01-17,Services,sms,2019,1,656.794854088
2019-01-18,,email,2019,1,2
2019-01-18,Auto,call,2019,1,241209.938086944
2019-01-18,Auto,chat,2019,1,36495.36308011
2019-01-18,Auto,email,2019,1,1321.651169902
2019-01-18,Auto,sms,2019,1,22605.06435909
2019-01-18,Generalist,call,2019,1,179516.65724451
2019-01-18,Generalist,chat,2019,1,93627.748648158
2019-01-18,Generalist,email,2019,1,1813.039043882
2019-01-18,Generalist,sms,2019,1,24724.297581154
2019-01-18,Jobs,call,2019,1,40089.412521486
2019-01-18,Jobs,chat,2019,1,44.090637912
2019-01-18,Jobs,email,2019,1,14447.032355832
2019-01-18,Jobs,sms,2019,1,2921.00476167
2019-01-18,Property,call,2019,1,183357.140143912
2019-01-18,Property,chat,2019,1,25037.683372742
2019-01-18,Property,email,2019,1,1782.199209876
2019-01-18,Property,sms,2019,1,16066.48744701
2019-01-18,Services,call,2019,1,12888.504728002
2019-01-18,Services,chat,2019,1,1068.302537064
2019-01-18,Services,email,2019,1,45.740051874
2019-01-18,Services,sms,2019,1,619.098664626
2019-01-19,Auto,call,2019,1,227552.621555492
2019-01-19,Auto,chat,2019,1,36602.87715615
2019-01-19,Auto,email,2019,1,1272.54153141
2019-01-19,Auto,sms,2019,1,24511.350443188
2019-01-19,Generalist,call,2019,1,173529.686429832
2019-01-19,Generalist,chat,2019,1,82397.21643592
2019-01-19,Generalist,email,2019,1,1682.579136606
2019-01-19,Generalist,sms,2019,1,26463.635212214
2019-01-19,Jobs,call,2019,1,28519.294289412
2019-01-19,Jobs,chat,2019,1,62.461737042
2019-01-19,Jobs,email,2019,1,10449.481185144
2019-01-19,Jobs,sms,2019,1,2487.446822202
2019-01-19,Property,call,2019,1,150837.779260924
2019-01-19,Property,chat,2019,1,22595.39117101
2019-01-19,Property,email,2019,1,1316.422856338
2019-01-19,Property,sms,2019,1,19546.190988856
2019-01-19,Services,call,2019,1,11868.908277658
2019-01-19,Services,chat,2019,1,774.94540765
2019-01-19,Services,email,2019,1,23.100116682
2019-01-19,Services,sms,2019,1,745.282895094
2019-01-20,Auto,call,2019,1,216117.681098676
2019-01-20,Auto,chat,2019,1,33572.088988862
2019-01-20,Auto,email,2019,1,1048.08759096
2019-01-20,Auto,sms,2019,1,23699.961749318
2019-01-20,Generalist,call,2019,1,171940.19905089
2019-01-20,Generalist,chat,2019,1,70028.329183084
2019-01-20,Generalist,email,2019,1,1860.76732167
2019-01-20,Generalist,sms,2019,1,26508.336605346
2019-01-20,Jobs,call,2019,1,24510.720459246
2019-01-20,Jobs,chat,2019,1,3.674219826
2019-01-20,Jobs,email,2019,1,9383.957435604
2019-01-20,Jobs,sms,2019,1,2189.835016296
2019-01-20,Property,call,2019,1,158374.713974162
2019-01-20,Property,chat,2019,1,24451.349030214
2019-01-20,Property,email,2019,1,1473.25766496
2019-01-20,Property,sms,2019,1,18162.100105896
2019-01-20,Services,call,2019,1,9388.968633056
2019-01-20,Services,chat,2019,1,737.201437224
2019-01-20,Services,email,2019,1,34.016004006
2019-01-20,Services,sms,2019,1,691.486284802
2019-01-21,Auto,call,2019,1,246058.656341094
2019-01-21,Auto,chat,2019,1,38002.167956218
2019-01-21,Auto,email,2019,1,1584.125737522
2019-01-21,Auto,sms,2019,1,25315.417212844
2019-01-21,Generalist,call,2019,1,182801.0477913
2019-01-21,Generalist,chat,2019,1,69581.521385784
2019-01-21,Generalist,email,2019,1,2110.648956928
2019-01-21,Generalist,sms,2019,1,26582.180725142
2019-01-21,Jobs,call,2019,1,36330.685639488
2019-01-21,Jobs,chat,2019,1,51.439077564
2019-01-21,Jobs,email,2019,1,12308.6364171
2019-01-21,Jobs,sms,2019,1,2803.429727238
2019-01-21,Property,call,2019,1,183304.550583794
2019-01-21,Property,chat,2019,1,26335.516269608
2019-01-21,Property,email,2019,1,1841.232128442
2019-01-21,Property,sms,2019,1,18710.97248316
2019-01-21,Services,call,2019,1,12306.995341714
2019-01-21,Services,chat,2019,1,996.84148144
2019-01-21,Services,email,2019,1,49.761160562
2019-01-21,Services,sms,2019,1,771.278910288
2019-01-22,Auto,call,2019,1,259520.298007294
2019-01-22,Auto,chat,2019,1,39271.688723848
2019-01-22,Auto,email,2019,1,1586.696431156
2019-01-22,Auto,sms,2019,1,23915.984594586
2019-01-22,Generalist,call,2019,1,184318.275534878
2019-01-22,Generalist,chat,2019,1,80625.623476178
2019-01-22,Generalist,email,2019,1,1943.92155154
2019-01-22,Generalist,sms,2019,1,25525.404770798
2019-01-22,Jobs,call,2019,1,53151.264002916
2019-01-22,Jobs,chat,2019,1,80.832836172
2019-01-22,Jobs,email,2019,1,16037.96954049
2019-01-22,Jobs,sms,2019,1,3747.70422252
2019-01-22,Property,call,2019,1,218013.465950084
2019-01-22,Property,chat,2019,1,28695.889254372
2019-01-22,Property,email,2019,1,1987.91010358
2019-01-22,Property,sms,2019,1,17614.927129076
2019-01-22,Services,call,2019,1,14201.315113598
2019-01-22,Services,chat,2019,1,1068.83705522
2019-01-22,Services,email,2019,1,37.884821182
2019-01-22,Services,sms,2019,1,806.464758868
2019-01-23,,email,2019,1,10
2019-01-23,Auto,call,2019,1,248155.975100792
2019-01-23,Auto,chat,2019,1,38747.087525316
2019-01-23,Auto,email,2019,1,1441.542151872
2019-01-23,Auto,sms,2019,1,23643.888997114
2019-01-23,Generalist,call,2019,1,185666.590177304
2019-01-23,Generalist,chat,2019,1,81100.56255449
2019-01-23,Generalist,email,2019,1,1866.783371296
2019-01-23,Generalist,sms,2019,1,24625.377216976
2019-01-23,Jobs,call,2019,1,50285.372538636
2019-01-23,Jobs,chat,2019,1,77.158616346
2019-01-23,Jobs,email,2019,1,16368.64932483
2019-01-23,Jobs,sms,2019,1,3420.698658006
2019-01-23,Property,call,2019,1,211269.321231266
2019-01-23,Property,chat,2019,1,28646.311046466
2019-01-23,Property,email,2019,1,1796.59954303
2019-01-23,Property,sms,2019,1,19016.747395512
2019-01-23,Services,call,2019,1,14597.244057292
2019-01-23,Services,chat,2019,1,1103.373064738
2019-01-23,Services,email,2019,1,68.173901502
2019-01-23,Services,sms,2019,1,814.434473098
2019-01-24,,email,2019,1,4
2019-01-24,Auto,call,2019,1,245733.4243247
2019-01-24,Auto,chat,2019,1,36983.3273981
2019-01-24,Auto,email,2019,1,1416.89122197
2019-01-24,Auto,sms,2019,1,22363.30361333
2019-01-24,Generalist,call,2019,1,189660.493800328
2019-01-24,Generalist,chat,2019,1,78485.851750288
2019-01-24,Generalist,email,2019,1,1587.86829897
2019-01-24,Generalist,sms,2019,1,23994.774881136
2019-01-24,Jobs,call,2019,1,47298.231820098
2019-01-24,Jobs,chat,2019,1,198.407870604
2019-01-24,Jobs,email,2019,1,14763.015260868
2019-01-24,Jobs,sms,2019,1,3137.783731404
2019-01-24,Property,call,2019,1,195474.18748726
2019-01-24,Property,chat,2019,1,24632.355195864
2019-01-24,Property,email,2019,1,1867.774425982
2019-01-24,Property,sms,2019,1,16082.387258074
2019-01-24,Services,call,2019,1,14578.702919386
2019-01-24,Services,chat,2019,1,1047.50657699
2019-01-24,Services,email,2019,1,18.90408125
2019-01-24,Services,sms,2019,1,592.913627926
2019-01-25,Auto,call,2019,1,237255.78915014
2019-01-25,Auto,chat,2019,1,35551.538913836
2019-01-25,Auto,email,2019,1,1354.46977658
2019-01-25,Auto,sms,2019,1,21528.968567974
2019-01-25,Generalist,call,2019,1,182968.226614416
2019-01-25,Generalist,chat,2019,1,85520.949435008
2019-01-25,Generalist,email,2019,1,1796.98021064
2019-01-25,Generalist,sms,2019,1,23635.520393778
2019-01-25,Jobs,call,2019,1,39563.999086368
2019-01-25,Jobs,chat,2019,1,47.764857738
2019-01-25,Jobs,email,2019,1,13719.536830284
2019-01-25,Jobs,sms,2019,1,2876.914123758
2019-01-25,Property,call,2019,1,173310.654453774
2019-01-25,Property,chat,2019,1,22215.497024238
2019-01-25,Property,email,2019,1,1396.719804558
2019-01-25,Property,sms,2019,1,15146.34514775
2019-01-25,Services,call,2019,1,13837.99172355
2019-01-25,Services,chat,2019,1,1041.121429876
2019-01-25,Services,email,2019,1,38.288078936
2019-01-25,Services,sms,2019,1,645.438113552
2019-01-26,,email,2019,1,2
2019-01-26,Auto,call,2019,1,223997.46955702
2019-01-26,Auto,chat,2019,1,34937.170724928
2019-01-26,Auto,email,2019,1,1321.735937478
2019-01-26,Auto,sms,2019,1,22572.134042034
2019-01-26,Generalist,call,2019,1,174143.652297222
2019-01-26,Generalist,chat,2019,1,83301.70217139
2019-01-26,Generalist,email,2019,1,1941.324480416
2019-01-26,Generalist,sms,2019,1,25785.807990374
2019-01-26,Jobs,call,2019,1,26487.450725634
2019-01-26,Jobs,chat,2019,1,18.37109913
2019-01-26,Jobs,email,2019,1,9960.809948286
2019-01-26,Jobs,sms,2019,1,2237.599874034
2019-01-26,Property,call,2019,1,147480.037594954
2019-01-26,Property,chat,2019,1,20865.80889166
2019-01-26,Property,email,2019,1,1403.803794926
2019-01-26,Property,sms,2019,1,16517.436360728
2019-01-26,Services,call,2019,1,10253.67899798
2019-01-26,Services,chat,2019,1,887.781118478
2019-01-26,Services,email,2019,1,37.871116206
2019-01-26,Services,sms,2019,1,675.485157886
2019-01-27,,email,2019,1,8
2019-01-27,Auto,call,2019,1,221042.606148026
2019-01-27,Auto,chat,2019,1,33288.560507756
2019-01-27,Auto,email,2019,1,1130.802572806
2019-01-27,Auto,sms,2019,1,23347.388756572
2019-01-27,Generalist,call,2019,1,174459.31481343
2019-01-27,Generalist,chat,2019,1,78768.360307934
2019-01-27,Generalist,email,2019,1,1584.692507514
2019-01-27,Generalist,sms,2019,1,26607.305483722
2019-01-27,Jobs,call,2019,1,26142.07406199
2019-01-27,Jobs,chat,2019,1,33.067978434
2019-01-27,Jobs,email,2019,1,9064.300310742
2019-01-27,Jobs,sms,2019,1,2296.38739125
2019-01-27,Property,call,2019,1,152939.093342564
2019-01-27,Property,chat,2019,1,22693.485912566
2019-01-27,Property,email,2019,1,1060.30865886
2019-01-27,Property,sms,2019,1,17284.33749074
2019-01-27,Services,call,2019,1,11607.357257342
2019-01-27,Services,chat,2019,1,956.145526134
2019-01-27,Services,email,2019,1,37.8081625
2019-01-27,Services,sms,2019,1,873.285348582
2019-01-28,,email,2019,1,8
2019-01-28,Auto,call,2019,1,258090.49767272
2019-01-28,Auto,chat,2019,1,38713.484654698
2019-01-28,Auto,email,2019,1,1227.67569124
